;vjkpesnbqd;pfvgauqkkf;gdtgdbutis;vaxwkizoom;zhusudzvhj;lcqhhrawti;xkyavovklj;uebnrxyqqh;tyrbjqfouj;xaizwqpacg;ofgprndbkl;vdfobjdlvl;edifsopsgm;woztqfumvd;qpwzbomlqw;vcbggcdxjh;llhrcxowtg;nkphnuyaaa;vrnlkiqigr;tjdffnsrrh;yncajvfgso;wcodnrwofi;bmppnjbhay;ljcmhawtem;pjpnnybser;zrbktlxoqq;gmfgocniph;eitmvmwgir;vvpsumbooy;tdkenfvqcp;eisjgxdclg;vkfztyjrwa;xihitzvcwo;azmfspvxkb;nvumjjcqzd;yzfyomtlmk;pcfpnqyesl;kfsbrxkdhd;acbdrawkcg;kplcwbxrgy;gjihykxgox;omunakulmf;omnqlarxst;dvwvngrxmw;sboiugpqla;xhfifdugyw;dlsxdczhjm;hfntivyhkr;sagkrgmann;ikmjmuatjq;cfemgzvehn;wlstafsjbf;nvkpoxlkdy;cilvzcytzl;xdtmkbhlbw;baencgotjn;jyxpkvxnov;jhkplsybqv;wwgrzmdsfk;qxfayiljif;fkasqhdppo;mwtqaqtykx;nxhnogdhkb;qtlsufaghk;mjfurjjrax;gdjmhttumr;hwbyzievtm;lrgycfgbzg;ruqvhrlucf;srxowmufrd;pjebyxcyjk;fhkmcznrxw;okjmaclvzf;rdimcydbda;alldxtrljz;rsjvnhejmr;hmpnkspbmd;wgnhlgvqdo;rvlmxjddnn;idijawdfaq;xtggaesbrg;hwervtwxut;ryhzrfshwz;vkvxxzwoio;rbeqmbckyb;bqhklmpkkm;zjooticezr;sqbuggdenf;qhdtfkycpz;pvgtzcwlau;osujrnimzz;zgagurbebg;qjsdveyevm;jvnicoment;gqefvzllhy;nmmytbmwsg;kiszatqutr;gxxdkgoyqg;tjzkauvakp;egcswnsbsh
vjkpesnbqd;0;2;0;0;0;0;7;0;0;9;0;7;1;9;0;0;0;0;0;5;0;0;0;0;0;4;3;0;3;4;5;6;7;0;0;1;0;0;6;2;0;0;0;0;6;0;0;0;0;1;3;9;4;0;0;9;1;2;0;5;0;0;8;4;1;4;0;2;7;5;1;4;7;0;0;7;1;4;4;2;1;7;7;0;3;1;0;0;4;0;0;0;0;6;1;6;8;9;4;0;
pfvgauqkkf;9;0;0;0;1;0;0;6;0;0;0;0;5;8;1;2;0;0;7;3;0;0;8;0;0;1;3;5;0;9;6;4;4;0;4;0;4;0;8;7;0;0;0;0;4;8;3;0;3;8;3;0;7;0;2;0;8;0;8;0;7;9;0;9;8;0;0;0;7;0;3;4;9;0;0;0;7;0;0;0;1;0;7;6;0;0;5;3;0;9;0;0;0;0;0;7;4;3;0;0;
gdtgdbutis;5;0;0;6;0;0;0;9;1;4;0;0;0;4;1;0;0;4;5;2;4;6;1;0;0;0;0;4;0;1;0;8;9;3;8;0;8;3;0;0;0;6;0;0;1;1;0;0;1;1;9;0;0;9;5;0;0;2;0;6;0;6;2;2;5;0;8;2;0;0;0;0;0;1;1;3;0;0;4;0;0;0;0;8;1;7;0;0;1;0;0;1;0;0;0;0;8;2;0;0;
vaxwkizoom;1;1;0;0;9;7;0;0;0;0;0;1;4;0;0;0;0;8;0;0;0;0;0;0;6;0;0;8;5;0;9;0;4;9;0;0;2;4;0;3;2;3;4;0;0;0;6;7;7;0;0;1;7;9;3;9;8;1;0;5;0;5;2;0;0;4;8;0;0;4;2;0;0;4;0;0;0;8;0;0;4;0;0;2;2;0;0;4;0;0;9;0;3;0;0;8;6;0;0;0;
zhusudzvhj;9;7;0;7;0;0;7;7;0;8;5;3;1;0;0;3;8;1;0;0;2;0;6;0;9;0;0;2;7;0;8;0;0;0;4;0;9;1;6;4;0;3;0;2;0;0;0;0;0;8;2;8;0;2;4;0;0;0;7;1;8;4;5;0;0;0;5;0;9;4;0;0;6;0;9;0;7;0;0;6;7;9;0;8;2;0;0;0;9;8;7;4;8;0;7;8;9;6;9;0;
lcqhhrawti;9;1;7;8;4;9;4;1;0;0;0;0;4;8;0;0;5;9;4;3;0;7;0;0;0;3;9;1;0;0;4;3;6;6;6;2;3;2;0;0;6;0;0;0;0;2;0;0;4;0;0;5;1;9;6;0;0;0;8;9;1;1;6;0;3;0;5;7;3;4;9;0;8;0;6;0;0;0;0;3;0;6;8;8;0;0;0;0;0;0;6;1;1;0;0;0;0;0;6;0;
xkyavovklj;9;0;8;0;7;9;8;5;5;0;0;0;3;6;0;0;6;0;9;0;0;2;4;3;7;7;0;0;9;0;0;7;2;0;0;1;0;0;2;0;1;0;0;0;9;2;0;4;8;7;9;7;1;8;0;0;7;0;9;2;0;0;0;0;0;9;9;9;3;0;0;0;0;8;4;0;3;3;0;2;0;7;0;2;7;0;0;9;0;7;4;4;0;0;0;3;0;0;0;6;
uebnrxyqqh;9;1;0;2;0;0;0;8;0;0;0;3;0;6;0;5;0;5;0;2;3;0;8;2;7;0;5;8;0;0;2;6;4;0;7;0;0;0;8;0;8;9;9;0;6;4;1;0;6;8;5;5;0;2;0;3;7;3;6;1;4;0;7;0;7;2;0;2;3;0;0;6;3;3;0;0;5;0;0;0;5;0;0;0;4;0;0;3;5;0;0;5;0;0;0;2;9;0;5;3;
tyrbjqfouj;0;0;2;0;2;0;9;0;4;9;9;0;9;0;0;4;0;7;6;0;0;3;6;5;0;1;0;1;0;0;0;0;0;0;0;0;2;0;3;8;5;0;6;2;0;3;0;2;0;0;9;0;5;2;0;1;0;0;7;9;0;0;4;0;0;0;8;9;3;0;0;0;7;6;0;7;0;4;1;0;7;0;6;7;0;0;0;9;0;5;0;0;0;0;5;5;0;3;1;0;
xaizwqpacg;0;0;0;2;4;6;0;0;5;0;4;0;4;0;0;0;1;0;0;6;3;0;4;0;0;0;0;5;0;4;1;5;7;5;1;4;6;2;7;0;9;9;9;9;8;1;0;7;5;5;9;3;0;1;5;6;0;9;3;7;0;0;2;7;8;7;0;0;0;8;0;2;0;2;5;0;6;0;8;4;5;3;0;0;9;0;8;0;7;0;8;8;0;7;0;0;0;0;1;3;
ofgprndbkl;0;2;7;0;0;8;0;1;4;5;0;0;0;0;7;0;6;7;2;3;1;6;8;5;4;0;0;0;8;0;0;0;0;4;0;0;3;4;2;0;0;7;0;1;0;5;5;0;0;1;5;0;0;0;0;0;0;5;0;0;0;6;0;5;9;0;0;0;3;0;0;0;5;0;4;2;0;0;0;8;0;7;0;0;0;0;0;7;8;0;0;5;7;7;8;0;0;1;0;5;
vdfobjdlvl;8;0;2;9;0;1;5;0;3;0;0;7;0;4;8;0;4;0;0;4;0;0;5;2;7;0;3;5;0;0;7;4;0;0;7;3;0;9;1;0;0;0;0;0;0;0;5;5;0;0;0;3;0;0;1;0;9;7;0;0;4;0;0;5;0;0;0;0;1;0;0;7;0;0;0;8;0;3;4;0;0;0;0;9;0;7;9;8;2;2;7;0;6;0;1;0;2;8;6;0;
edifsopsgm;0;7;0;9;0;0;0;0;8;0;0;0;7;2;0;0;2;0;0;0;4;0;0;8;9;2;9;8;0;6;0;2;7;6;0;0;0;9;0;0;7;8;8;4;0;9;3;2;0;3;0;0;2;0;3;0;3;0;4;1;0;4;0;0;4;0;0;0;6;2;0;2;1;0;4;8;0;2;0;0;0;5;9;8;0;4;0;6;0;0;0;4;0;0;5;0;0;0;0;9;
woztqfumvd;1;9;1;0;0;4;0;9;0;9;0;8;0;3;0;3;0;0;3;9;0;0;0;0;8;0;4;0;3;8;2;0;8;6;9;2;0;3;0;1;0;0;3;8;0;1;0;0;9;0;0;0;5;0;7;0;0;0;6;1;5;3;0;8;3;7;2;8;0;2;0;3;0;0;9;0;7;3;7;0;6;4;0;7;0;9;0;6;0;5;0;2;0;0;0;0;7;1;0;0;
qpwzbomlqw;0;7;0;0;9;0;0;9;7;8;0;2;9;0;4;8;9;8;0;0;9;4;6;5;0;0;0;6;4;0;0;0;2;3;0;0;0;2;5;3;6;4;5;4;5;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;2;0;5;8;2;0;0;0;7;0;0;0;5;0;0;2;3;3;5;0;5;0;6;0;7;5;6;9;9;0;0;0;5;0;0;0;5;0;4;
vcbggcdxjh;0;4;8;8;4;0;5;0;0;0;6;0;6;0;3;0;1;0;0;0;9;7;6;0;0;0;0;1;1;0;5;0;5;8;0;7;4;0;8;4;2;8;0;0;3;0;0;0;2;5;9;3;9;2;8;7;0;3;0;5;0;0;0;1;9;5;8;6;5;0;0;0;8;0;0;0;2;7;2;2;0;5;0;5;0;5;0;8;0;0;0;0;0;0;0;0;0;2;0;0;
llhrcxowtg;3;0;6;4;9;0;8;0;3;4;0;8;2;0;0;0;1;5;9;7;0;0;5;0;1;0;0;4;3;0;0;8;0;1;0;0;1;0;6;2;0;0;0;9;0;3;9;6;0;0;7;0;0;0;0;0;1;5;0;0;6;3;2;0;9;1;8;7;0;0;0;0;8;0;0;0;0;4;0;7;4;0;4;0;0;6;0;0;0;1;9;0;3;7;0;9;7;0;0;7;
nkphnuyaaa;7;0;0;5;2;0;0;9;0;0;8;7;3;7;4;9;2;6;1;6;3;0;1;0;0;6;0;8;0;2;0;0;4;7;0;0;0;2;0;0;0;6;0;0;5;5;7;0;0;0;0;4;7;6;0;0;6;6;8;5;2;0;3;0;8;0;1;7;0;6;0;4;0;0;2;9;0;0;0;0;8;0;0;0;7;7;0;0;9;9;5;9;0;0;1;0;0;9;0;0;
vrnlkiqigr;6;3;0;0;0;0;1;7;9;0;2;7;0;1;2;0;9;0;8;0;2;6;9;3;4;8;8;7;0;0;3;6;9;5;0;0;1;0;8;0;5;0;0;4;0;0;8;0;0;1;0;9;7;0;2;0;0;8;5;0;6;8;4;5;1;0;5;0;3;0;0;0;0;5;0;8;1;6;0;8;0;1;0;0;7;0;0;5;6;0;2;3;0;0;0;0;0;0;1;0;
tjdffnsrrh;0;6;0;7;8;0;5;8;0;6;0;0;8;0;4;0;0;9;0;9;0;2;9;1;5;7;1;0;0;0;0;0;3;7;0;0;3;4;4;7;8;5;7;0;0;3;0;0;0;6;7;0;5;3;7;0;4;0;0;6;1;0;5;0;0;0;0;0;0;4;0;7;6;0;0;8;3;3;6;5;5;8;1;0;7;0;1;5;8;3;0;0;0;0;0;5;0;0;1;3;
yncajvfgso;0;6;9;0;0;9;5;7;6;0;0;0;1;0;0;0;8;0;0;2;0;0;9;5;0;0;7;5;1;0;9;0;0;5;0;0;3;3;0;3;1;0;0;0;0;4;4;0;1;0;0;1;6;4;0;0;0;4;6;8;0;3;0;0;0;3;8;0;0;5;0;4;5;0;0;9;0;0;9;0;1;0;4;9;0;0;6;9;8;0;9;6;3;7;0;7;8;1;9;8;
wcodnrwofi;7;0;0;0;8;1;3;0;5;5;0;0;3;0;0;0;0;1;0;0;0;0;5;3;0;0;7;0;0;9;1;0;0;8;6;0;0;3;4;6;2;6;0;5;0;0;7;0;4;1;0;0;3;0;0;0;0;9;0;5;5;0;0;5;3;5;0;5;0;4;0;2;0;4;0;6;3;0;0;5;1;0;9;0;6;0;0;0;6;6;0;0;6;5;0;0;9;0;3;0;
bmppnjbhay;0;0;0;0;5;0;0;4;0;0;6;7;0;0;1;0;3;0;0;1;0;0;5;0;4;0;0;4;5;0;2;0;0;0;6;3;0;6;8;0;0;7;8;0;0;0;0;7;9;0;2;0;0;0;0;0;5;9;0;5;0;3;4;0;1;4;0;5;0;7;8;0;0;9;0;8;0;3;0;5;4;0;7;6;6;0;0;6;4;0;8;5;0;0;5;8;3;0;2;2;
ljcmhawtem;0;5;0;5;9;6;0;0;0;0;0;9;0;0;0;0;0;0;2;2;0;0;0;0;1;5;8;0;0;1;0;0;9;0;9;9;8;1;8;0;0;0;5;0;0;1;0;6;4;9;9;0;0;6;0;3;0;0;1;0;0;0;0;4;4;3;7;0;9;0;0;1;0;9;5;0;5;0;2;0;2;0;2;0;2;0;0;6;3;0;0;3;2;0;0;8;0;0;3;6;
pjpnnybser;0;0;2;8;8;0;5;9;0;9;7;0;0;0;0;0;2;0;0;0;7;0;2;0;7;0;0;5;0;2;0;2;0;0;0;0;0;5;1;0;9;0;2;0;0;0;9;5;0;0;2;0;0;5;9;5;0;0;0;5;7;4;0;5;4;8;0;2;0;9;0;0;0;8;0;0;0;5;9;3;0;8;0;6;0;0;6;0;8;9;9;0;0;0;0;6;3;1;3;9;
zrbktlxoqq;0;0;4;6;0;0;0;0;4;2;0;8;5;0;9;0;0;0;0;5;7;3;0;0;7;5;0;7;0;0;0;8;7;6;0;0;5;3;0;0;0;0;0;7;0;0;1;0;0;5;2;0;7;9;0;1;1;5;0;0;3;1;6;0;2;7;5;6;2;7;2;0;5;4;0;9;4;0;0;4;4;0;0;0;0;1;6;0;1;4;0;0;4;6;0;3;7;0;6;0;
gmfgocniph;5;3;0;0;3;1;0;6;5;0;7;0;1;5;2;5;0;0;1;1;7;8;3;7;8;0;5;0;9;0;7;9;0;0;7;1;5;0;1;8;6;0;8;0;6;0;0;0;0;2;0;2;6;0;0;0;5;0;0;0;0;0;5;2;5;0;0;0;0;4;2;0;2;5;0;7;1;9;0;0;0;8;6;8;0;0;9;5;0;4;0;9;9;0;0;0;8;0;0;8;
eitmvmwgir;7;0;4;0;0;1;8;1;4;0;0;5;7;0;0;0;0;5;5;0;0;5;0;0;8;0;6;4;0;0;5;7;4;2;0;0;0;2;5;7;0;4;3;2;1;1;3;0;3;7;4;6;9;3;0;0;0;7;0;6;0;3;1;2;3;2;0;6;1;5;0;5;3;0;0;0;0;0;7;0;8;8;5;4;3;0;0;3;2;6;0;0;0;2;1;0;7;9;1;0;
vvpsumbooy;0;4;0;3;0;0;6;0;0;0;7;1;0;0;6;6;1;9;8;1;0;4;5;6;0;1;2;0;0;1;0;0;6;6;0;1;0;8;2;0;0;0;0;4;0;0;0;9;0;2;0;0;0;0;0;0;6;0;7;0;5;2;0;0;2;5;0;0;0;0;8;0;0;1;0;0;5;0;2;9;2;7;0;0;7;0;6;0;9;0;3;1;0;5;0;2;4;0;0;0;
tdkenfvqcp;0;0;0;0;0;0;0;3;0;1;3;0;0;5;3;0;2;2;0;0;0;0;0;7;3;0;0;0;6;0;5;4;0;0;9;0;0;0;0;6;0;4;9;0;7;2;3;0;4;0;0;4;1;0;8;0;3;9;3;8;0;0;8;3;0;0;0;4;6;5;1;3;0;2;8;1;4;8;0;2;3;0;5;0;0;1;9;8;0;2;6;0;0;0;8;1;6;5;8;6;
eisjgxdclg;0;0;7;5;5;0;6;9;0;0;0;0;4;0;0;0;2;0;4;5;0;4;3;4;2;0;0;0;0;9;0;5;0;0;0;0;0;0;0;0;3;8;2;4;3;1;0;2;6;0;0;0;9;8;0;5;1;7;2;5;0;0;7;0;5;5;4;3;8;0;0;1;0;1;0;5;0;8;0;0;0;2;0;3;0;6;5;0;4;0;6;7;0;0;0;2;0;0;1;0;
vkfztyjrwa;0;7;0;0;0;0;7;9;2;9;6;0;0;5;0;8;0;0;8;0;8;1;0;0;5;0;9;4;5;2;6;0;0;5;9;0;9;0;0;0;0;0;0;0;0;0;0;4;0;8;8;1;0;8;1;0;1;0;6;0;0;1;7;0;0;7;0;8;8;3;0;2;6;2;5;7;0;4;3;1;4;4;4;0;0;0;6;8;3;5;8;0;0;8;0;7;4;3;0;0;
xihitzvcwo;0;6;0;4;6;3;8;0;0;1;5;0;0;3;0;0;0;0;0;4;1;0;0;3;4;0;0;9;6;2;0;5;0;3;0;0;8;0;8;6;0;5;0;5;9;8;5;3;9;6;0;0;0;0;8;2;9;9;9;9;9;0;7;0;0;6;3;0;0;0;0;7;6;3;9;0;4;9;5;0;0;0;0;0;4;4;7;6;0;6;1;8;9;5;8;0;0;4;0;0;
azmfspvxkb;3;2;0;0;0;0;4;7;3;5;0;3;0;0;6;0;0;0;0;4;0;0;0;2;8;4;2;1;6;7;0;3;7;0;2;5;2;0;1;0;0;6;9;0;3;0;0;4;6;3;0;5;0;0;6;5;0;0;0;0;8;3;1;2;0;8;1;4;0;0;4;1;0;0;0;6;0;9;0;1;0;6;9;4;2;0;0;0;0;8;7;0;0;4;9;2;0;5;0;7;
nvumjjcqzd;3;4;0;5;0;2;6;1;0;0;9;0;7;0;0;6;4;1;0;0;3;2;2;0;2;4;0;7;0;0;0;3;6;0;0;0;0;5;0;8;6;0;0;0;5;0;0;0;4;5;4;1;0;0;6;7;0;1;6;0;6;0;3;0;9;0;8;0;4;0;9;0;0;9;0;0;0;4;0;0;5;0;2;2;9;9;0;2;0;6;6;0;2;1;7;9;0;1;0;0;
yzfyomtlmk;7;3;2;0;0;0;0;0;5;5;2;0;2;0;0;0;4;0;1;1;0;9;2;0;0;5;4;0;0;0;0;0;0;5;1;3;0;0;3;5;4;0;0;6;6;5;0;8;4;0;0;0;0;0;3;0;0;0;0;2;0;2;0;8;0;0;0;0;0;3;0;0;3;0;9;5;6;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;9;2;7;1;9;0;8;0;
pcfpnqyesl;5;0;5;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;5;7;8;7;6;7;0;6;0;0;8;0;9;0;0;0;0;0;0;4;0;9;7;0;0;0;1;5;3;0;0;0;4;5;0;6;7;2;6;0;2;3;0;7;0;8;4;0;1;0;5;0;4;8;0;0;0;8;0;0;2;0;0;1;0;0;7;3;0;3;0;4;0;3;1;0;0;0;5;0;8;6;
kfsbrxkdhd;6;0;1;0;8;6;3;0;0;3;5;3;0;4;0;8;0;7;0;9;0;0;0;3;0;7;0;9;8;0;0;9;0;1;9;0;6;0;4;2;0;7;0;1;9;2;9;1;9;7;0;7;5;9;3;0;0;0;0;4;0;4;5;1;0;5;0;9;5;2;0;0;0;5;0;0;0;0;6;2;5;0;0;2;2;0;6;2;0;0;0;0;2;0;0;0;5;4;0;0;
acbdrawkcg;8;0;0;0;0;0;3;0;0;0;0;0;7;1;1;0;0;0;0;0;0;0;0;4;0;0;5;3;6;3;0;3;0;0;0;0;0;8;0;4;7;5;0;0;0;1;0;4;6;5;1;1;0;0;0;2;0;3;0;2;0;0;5;8;0;4;6;7;0;1;3;5;3;5;3;0;8;0;6;5;0;0;3;0;1;0;0;0;1;0;3;7;9;0;0;4;7;0;8;9;
kplcwbxrgy;0;3;0;0;0;9;0;0;4;7;5;0;7;0;0;2;3;0;6;0;0;9;8;0;7;0;4;8;0;5;0;0;0;0;8;5;5;9;0;2;0;3;0;9;0;4;6;5;9;5;4;5;0;0;0;4;0;5;0;9;0;0;0;0;0;1;4;0;4;0;3;7;4;8;0;0;8;1;6;7;0;2;7;0;0;5;6;0;0;9;5;5;2;6;0;0;4;0;8;0;
gjihykxgox;9;6;9;0;0;0;0;0;0;8;4;7;0;8;0;0;6;7;0;7;0;0;3;0;5;0;6;5;0;5;9;0;5;0;0;8;6;5;4;1;6;0;0;1;6;4;0;0;0;0;8;6;0;3;2;9;6;9;0;4;5;0;1;5;2;5;5;0;2;0;8;2;8;5;6;0;9;5;5;3;5;8;1;0;0;0;0;0;5;0;5;7;0;0;4;5;0;0;0;7;
omunakulmf;0;9;8;0;0;4;3;4;7;0;7;4;8;2;0;0;6;1;0;4;3;9;0;8;2;2;0;0;1;2;0;3;1;0;6;6;0;6;8;0;0;1;0;0;0;0;9;3;0;8;6;0;2;0;8;0;8;0;0;7;0;3;0;7;2;2;8;6;2;1;9;7;0;5;4;0;9;9;0;1;0;5;0;0;0;6;9;0;2;0;4;1;5;7;5;0;0;7;5;7;
omnqlarxst;0;5;3;2;0;8;6;0;5;1;3;0;0;3;3;1;0;0;0;2;0;4;0;2;5;7;0;0;9;0;0;9;0;4;0;8;1;0;0;6;0;0;0;6;6;0;6;0;7;0;0;3;1;0;0;0;0;0;9;3;9;0;0;0;7;3;0;0;5;0;7;7;0;0;1;0;8;0;0;7;0;7;0;0;3;0;0;7;0;6;0;0;0;0;4;4;0;2;0;0;
dvwvngrxmw;3;0;0;0;0;3;0;8;0;0;2;0;2;4;0;3;5;1;0;0;0;4;0;6;0;0;0;0;0;0;1;7;0;0;0;0;2;0;0;8;4;0;0;0;3;2;0;0;3;3;7;1;0;0;1;0;0;0;1;6;7;0;0;0;0;0;0;0;6;3;0;6;9;0;9;6;9;0;4;0;1;0;3;2;3;2;0;1;0;0;3;3;3;0;0;4;0;0;0;0;
sboiugpqla;1;9;4;0;7;4;0;0;2;0;0;0;0;1;8;3;0;0;0;5;6;0;0;0;0;4;3;0;0;0;0;0;6;0;1;0;0;0;7;0;6;5;0;0;0;2;0;6;0;0;0;0;1;4;0;1;0;6;0;0;5;0;0;0;0;0;3;0;2;4;0;0;3;0;2;0;5;0;0;0;1;0;1;3;9;0;1;5;5;5;0;1;0;0;4;0;0;0;9;6;
xhfifdugyw;9;0;5;8;0;0;0;2;0;0;0;0;0;9;9;7;4;2;1;1;8;0;0;0;0;0;8;0;0;6;0;2;0;0;5;0;0;8;7;0;1;7;0;9;5;3;5;1;6;8;0;0;0;2;0;1;9;5;1;2;9;1;0;0;0;1;0;9;0;0;5;3;0;7;0;0;4;0;0;0;4;0;0;0;0;0;8;0;0;0;0;7;3;7;7;8;0;0;8;0;
dlsxdczhjm;0;2;3;0;5;0;0;2;0;7;3;6;8;9;1;0;2;4;0;6;8;0;3;5;0;0;9;7;6;0;0;4;4;0;1;2;0;3;0;0;0;5;0;0;0;5;0;0;7;0;8;0;0;0;0;8;0;0;0;2;0;1;2;0;0;0;7;4;8;6;0;3;6;6;0;7;0;8;0;0;3;0;9;4;5;2;0;7;0;2;0;5;3;6;9;7;0;0;4;4;
