;vjkpesnbqd;pfvgauqkkf;gdtgdbutis;vaxwkizoom;zhusudzvhj;lcqhhrawti;xkyavovklj;uebnrxyqqh;tyrbjqfouj;xaizwqpacg;ofgprndbkl;vdfobjdlvl;edifsopsgm;woztqfumvd;qpwzbomlqw;vcbggcdxjh;llhrcxowtg;nkphnuyaaa;vrnlkiqigr;tjdffnsrrh;yncajvfgso;wcodnrwofi;bmppnjbhay;ljcmhawtem;pjpnnybser;zrbktlxoqq;gmfgocniph;eitmvmwgir;vvpsumbooy;tdkenfvqcp;eisjgxdclg;vkfztyjrwa;xihitzvcwo;azmfspvxkb;nvumjjcqzd;yzfyomtlmk;pcfpnqyesl;kfsbrxkdhd;acbdrawkcg;kplcwbxrgy;gjihykxgox;omunakulmf;omnqlarxst;dvwvngrxmw;sboiugpqla;xhfifdugyw;dlsxdczhjm;hfntivyhkr;sagkrgmann;ikmjmuatjq;cfemgzvehn;wlstafsjbf;nvkpoxlkdy;cilvzcytzl;xdtmkbhlbw;baencgotjn;jyxpkvxnov;jhkplsybqv;wwgrzmdsfk;qxfayiljif;fkasqhdppo;mwtqaqtykx;nxhnogdhkb;qtlsufaghk;mjfurjjrax;gdjmhttumr;hwbyzievtm;lrgycfgbzg;ruqvhrlucf;srxowmufrd;pjebyxcyjk;fhkmcznrxw;okjmaclvzf;rdimcydbda;alldxtrljz;rsjvnhejmr;hmpnkspbmd;wgnhlgvqdo;rvlmxjddnn;idijawdfaq;xtggaesbrg;hwervtwxut;ryhzrfshwz;vkvxxzwoio;rbeqmbckyb;bqhklmpkkm;zjooticezr;sqbuggdenf;qhdtfkycpz;pvgtzcwlau;osujrnimzz;zgagurbebg;qjsdveyevm;jvnicoment;gqefvzllhy;nmmytbmwsg;kiszatqutr;gxxdkgoyqg;tjzkauvakp;egcswnsbsh
hfntivyhkr;0;0;0;0;0;5;5;6;7;7;1;8;7;0;7;0;3;6;0;0;0;0;7;0;7;0;3;1;3;0;0;8;8;2;0;0;5;7;2;0;0;0;3;0;0;5;0;1;5;6;0;2;0;0;0;0;2;3;0;0;0;6;0;1;8;0;0;0;3;0;0;0;4;7;7;0;0;0;0;3;4;0;1;0;0;1;0;0;7;8;8;1;2;1;2;0;9;9;0;4;
sagkrgmann;6;0;0;0;0;2;4;7;0;9;7;0;0;0;0;3;2;0;0;1;0;0;0;0;0;0;2;3;0;0;0;7;0;0;1;0;0;0;7;0;6;0;0;0;0;0;0;0;0;0;4;0;3;0;0;0;9;0;1;0;0;2;0;0;0;9;0;0;0;0;9;3;0;0;0;0;2;6;0;1;0;5;0;8;1;0;2;7;1;0;0;0;6;0;0;3;3;0;0;0;
ikmjmuatjq;0;7;0;0;1;6;0;5;0;3;5;6;0;6;0;0;8;4;5;0;0;0;5;0;0;6;0;0;0;1;0;5;0;7;0;8;4;4;5;0;4;4;0;7;0;3;9;7;8;3;6;0;0;1;0;0;0;4;0;0;3;8;1;9;6;1;0;0;0;0;0;0;0;0;9;1;0;0;2;7;1;6;6;1;9;3;0;9;2;0;0;8;6;7;3;0;0;0;4;0;
cfemgzvehn;0;4;0;2;0;9;2;8;0;7;1;0;8;0;7;0;0;5;0;6;0;0;2;0;0;3;8;2;2;0;3;6;9;8;1;0;9;7;5;0;3;0;0;7;0;0;0;5;0;9;8;4;8;4;9;0;0;8;0;0;4;0;1;8;8;3;1;0;8;0;0;0;0;0;8;0;0;0;2;8;9;5;2;7;4;0;5;4;0;9;0;0;2;9;0;0;8;0;9;2;
wlstafsjbf;0;4;5;9;2;4;7;0;7;0;2;0;0;6;0;0;0;0;6;0;6;0;6;0;0;5;0;0;4;0;0;0;9;0;0;0;0;0;0;7;0;0;1;0;1;0;6;5;3;2;5;1;6;0;7;2;2;6;0;0;0;5;0;0;0;8;3;8;5;0;7;8;0;5;0;0;0;3;0;0;0;8;0;0;6;0;0;1;0;0;0;5;0;7;0;5;2;9;0;1;
nvkpoxlkdy;0;0;0;0;6;6;9;0;5;0;0;0;4;0;2;0;0;7;0;2;0;0;7;6;1;0;3;7;3;0;5;5;6;3;6;0;5;3;8;1;0;5;7;0;0;0;3;0;6;0;0;3;9;0;0;5;0;0;0;5;0;4;1;0;9;0;0;9;6;0;0;5;0;0;6;1;0;0;0;2;9;2;8;0;6;0;3;4;0;0;2;2;0;0;4;5;0;9;0;0;
cilvzcytzl;4;6;2;0;0;0;6;0;9;0;7;2;0;8;0;2;0;0;2;9;9;8;4;0;0;0;1;9;0;0;0;7;4;5;0;5;0;9;6;0;0;0;0;0;0;7;0;0;1;0;1;2;5;0;2;5;0;0;5;0;9;9;8;2;0;0;6;0;3;0;0;0;0;0;0;0;8;0;0;0;4;8;0;0;0;0;4;0;0;0;0;5;0;1;0;1;6;0;7;0;
xdtmkbhlbw;7;0;0;0;0;1;4;0;0;7;0;7;6;2;0;0;0;4;0;0;1;0;4;0;6;0;5;0;3;2;0;0;0;6;0;0;1;3;0;4;3;0;0;7;0;2;0;9;0;1;3;8;4;0;0;0;4;0;0;0;5;0;0;7;5;3;0;0;1;0;6;5;1;0;0;5;7;0;5;4;0;2;0;7;7;8;0;0;8;1;3;5;5;6;2;0;0;8;0;8;
baencgotjn;8;6;0;6;1;0;2;8;6;0;0;0;7;1;0;0;4;0;8;0;0;1;0;0;7;6;0;0;0;0;6;6;3;6;0;0;7;0;0;9;4;0;0;0;0;6;3;9;7;6;1;0;9;0;0;0;0;0;7;5;8;0;9;5;0;2;0;0;7;0;0;0;9;8;9;1;4;0;9;0;9;0;2;0;0;1;0;0;8;3;0;0;1;6;7;2;0;0;6;6;
jyxpkvxnov;0;5;1;6;0;0;2;0;1;0;5;0;1;0;0;2;2;0;8;0;0;0;0;5;8;6;0;5;0;1;0;0;0;0;7;0;0;0;0;0;2;6;0;0;0;0;0;3;3;2;0;8;4;0;0;0;6;0;2;0;5;5;8;0;1;3;0;0;9;1;0;9;0;8;0;0;0;7;0;0;0;0;0;4;0;0;0;1;0;3;0;1;0;0;5;5;0;0;3;0;
jhkplsybqv;1;0;0;0;0;0;0;0;0;9;0;0;5;0;2;2;4;9;2;2;2;6;0;1;1;6;0;0;5;7;8;4;0;0;0;0;0;0;0;0;3;7;1;4;9;7;9;4;0;3;2;6;0;2;1;0;3;6;0;0;0;0;0;0;0;6;0;5;3;7;7;0;3;4;0;0;1;0;0;9;0;6;0;0;0;0;0;0;5;1;9;0;2;0;5;2;2;0;5;0;
wwgrzmdsfk;0;0;0;3;0;0;0;2;2;0;0;5;4;0;0;4;0;8;3;7;1;1;0;7;3;8;9;9;8;0;0;2;7;1;8;1;0;0;0;4;6;0;0;0;8;2;4;3;5;0;2;3;3;0;0;0;7;4;0;4;0;0;0;0;3;5;2;6;7;0;2;9;8;0;0;4;6;0;0;0;7;0;6;6;0;9;0;6;4;0;8;0;0;0;0;0;8;1;0;0;
qxfayiljif;0;0;0;8;5;0;1;2;0;8;0;5;0;0;4;0;0;5;0;2;5;0;3;6;0;0;1;0;0;0;9;0;0;3;4;0;0;0;7;0;0;0;0;0;0;0;0;7;1;7;0;6;7;0;0;0;9;0;0;5;8;0;0;1;3;0;3;0;0;8;0;0;9;0;5;0;0;0;3;0;0;1;0;0;5;0;9;0;0;0;2;0;0;2;1;5;7;0;4;8;
fkasqhdppo;8;1;0;0;2;6;6;4;0;8;1;3;0;0;0;2;4;2;0;9;0;0;9;0;5;3;5;8;1;0;0;0;9;0;6;0;5;0;0;0;4;0;7;5;4;0;0;0;0;3;0;0;0;4;0;0;0;3;2;5;5;2;0;0;0;7;0;5;0;0;9;0;4;4;4;0;0;0;0;0;0;1;6;3;4;0;7;1;0;0;0;0;4;0;0;3;0;1;0;7;
mwtqaqtykx;4;2;0;0;7;4;0;0;7;7;3;7;0;0;1;5;0;1;1;0;0;0;1;0;9;7;0;7;3;8;0;5;0;0;0;0;1;0;1;7;0;8;0;0;3;2;0;6;5;0;9;0;8;9;0;0;0;6;0;6;0;8;0;4;2;0;8;0;0;8;0;6;0;0;0;5;0;0;5;0;1;0;0;0;0;2;5;4;4;0;0;3;6;0;7;0;0;9;0;0;
nxhnogdhkb;0;0;0;7;9;0;8;0;3;1;0;2;7;0;0;0;7;6;4;0;0;7;9;4;0;0;8;0;0;4;8;0;7;0;2;0;6;1;2;0;1;0;1;0;2;3;0;5;6;0;0;0;0;0;2;6;8;0;3;2;0;5;3;5;8;0;7;7;0;1;0;0;0;9;3;0;0;0;0;2;4;0;5;0;2;7;4;0;6;0;0;7;0;0;5;0;0;9;0;0;
qtlsufaghk;0;0;0;3;0;6;3;0;0;2;4;1;7;5;0;4;4;7;9;6;5;9;7;4;0;0;7;1;1;0;0;5;3;0;0;0;0;8;0;1;0;0;0;1;1;2;0;0;0;0;3;0;0;0;6;1;0;0;0;3;8;0;7;9;7;7;5;8;1;7;0;0;0;0;0;7;0;7;4;4;0;0;3;0;0;0;0;0;2;3;0;2;0;0;0;0;0;1;0;0;
mjfurjjrax;0;4;6;5;0;0;0;5;0;8;0;4;0;0;3;0;0;0;0;0;3;2;0;4;7;0;0;0;0;6;2;0;0;9;0;5;3;9;5;0;6;0;0;1;0;0;0;0;0;0;8;0;0;0;4;0;0;1;2;0;0;4;0;9;7;0;6;0;0;3;0;9;0;6;0;8;6;0;0;0;0;0;6;5;0;0;6;0;5;0;9;9;0;8;0;6;0;2;4;0;
gdjmhttumr;5;9;6;0;0;9;2;0;3;8;0;0;0;0;0;0;1;5;0;7;0;3;0;4;0;9;6;0;6;0;0;0;0;4;0;0;0;1;6;1;0;3;8;0;0;6;7;0;0;9;4;9;0;0;5;0;0;0;0;5;7;0;7;4;5;9;7;0;9;0;0;9;3;0;4;9;0;2;9;0;0;0;0;4;0;3;4;0;0;0;0;3;8;0;1;0;9;0;8;0;
hwbyzievtm;0;2;0;2;3;0;1;0;0;0;3;2;2;0;8;0;2;0;0;0;0;0;0;5;6;4;0;1;5;0;7;8;8;7;0;0;4;0;2;8;0;0;7;0;0;0;4;5;0;1;0;3;0;0;7;1;6;0;0;0;1;0;0;0;8;0;0;0;8;1;4;6;9;0;9;0;7;0;0;0;0;1;0;7;9;4;3;0;0;5;6;2;5;1;4;0;0;0;0;0;
lrgycfgbzg;5;2;0;6;0;0;0;8;0;9;0;0;0;1;0;0;9;2;0;0;0;9;3;5;0;6;1;4;7;0;0;0;0;3;7;9;6;0;0;2;0;0;1;0;0;9;6;6;0;0;3;0;4;6;9;0;0;0;0;0;4;5;0;2;7;8;0;0;5;0;1;8;0;0;5;6;0;0;0;0;0;0;4;7;0;7;7;6;0;8;0;0;7;6;0;1;0;5;5;6;
ruqvhrlucf;0;4;3;0;8;6;0;9;0;0;9;0;7;8;9;3;0;9;0;5;0;0;5;0;2;2;8;7;6;3;0;0;4;0;0;0;4;0;8;1;0;5;0;0;8;8;0;0;6;0;0;3;0;2;4;0;7;0;8;0;2;8;9;0;3;0;8;0;0;1;6;0;0;0;0;0;8;1;2;0;1;8;0;4;8;4;0;6;0;4;0;0;0;0;5;0;9;0;0;0;
srxowmufrd;0;5;1;7;3;3;1;4;4;0;0;0;7;0;1;8;0;0;8;8;7;0;0;0;5;8;2;0;2;0;0;0;4;1;9;2;4;0;4;0;0;8;0;5;5;0;1;0;4;0;0;0;0;4;5;0;0;0;0;6;0;0;0;8;0;0;0;9;1;6;0;7;8;2;0;0;2;4;0;0;0;0;0;6;9;0;6;0;9;0;9;8;1;1;9;0;0;0;0;0;
pjebyxcyjk;7;0;0;0;0;0;7;0;0;0;0;3;0;9;0;1;4;7;0;0;4;4;4;0;1;0;0;0;0;4;6;0;3;4;0;0;0;0;2;3;5;0;9;6;0;8;2;0;1;0;1;0;0;5;0;5;0;0;0;0;3;0;8;0;5;0;2;7;7;2;9;6;2;0;1;0;0;7;0;1;0;1;0;3;0;2;0;9;0;8;6;0;0;6;0;0;3;0;7;6;
fhkmcznrxw;3;2;0;5;0;0;0;1;0;0;3;0;0;0;5;0;0;0;0;8;1;2;7;4;5;9;0;0;0;0;0;0;0;9;0;0;3;3;3;0;7;0;5;4;0;1;0;9;0;0;7;0;0;2;0;2;6;0;5;5;8;9;1;8;0;0;1;0;0;0;0;7;0;0;2;0;4;0;2;0;0;0;5;7;7;0;9;3;2;3;5;0;4;0;5;0;3;0;3;0;
okjmaclvzf;6;8;1;8;1;0;0;0;8;7;2;4;2;1;7;1;0;0;0;0;0;0;0;0;0;8;2;0;0;0;0;3;9;0;0;6;6;0;7;0;0;1;5;0;0;6;0;0;7;0;0;0;0;9;6;0;0;9;0;0;8;4;1;0;8;8;0;0;0;0;0;0;0;4;2;7;7;1;0;0;0;0;6;2;0;0;0;6;0;0;0;5;5;9;0;5;0;0;0;7;
rdimcydbda;8;0;0;7;0;0;0;0;0;8;0;0;9;8;0;8;0;5;3;5;9;7;1;0;0;9;2;0;5;1;3;2;9;0;3;9;0;5;7;4;0;1;7;0;4;0;0;7;0;4;1;5;9;8;0;7;0;0;0;0;5;7;0;1;4;2;0;0;8;3;7;0;0;3;9;0;4;0;0;6;0;0;4;0;0;0;9;0;0;2;0;0;5;2;0;0;0;0;2;0;
alldxtrljz;0;6;0;4;0;0;0;0;5;4;5;9;9;2;0;4;2;0;0;2;5;7;0;4;0;1;4;0;0;5;9;2;4;5;0;9;0;0;3;0;0;8;9;2;2;0;0;1;5;0;2;9;9;4;5;9;0;0;8;0;0;0;0;0;0;2;6;6;0;0;4;0;6;8;3;4;0;9;0;7;0;6;9;5;9;0;4;9;0;0;5;0;3;0;1;0;0;0;0;0;
rsjvnhejmr;4;0;0;1;9;0;0;0;0;0;0;6;9;9;0;0;0;0;3;0;0;0;0;9;0;4;0;0;2;2;0;0;8;2;3;6;7;6;0;0;5;6;0;4;6;0;0;6;5;3;0;0;0;0;0;0;0;6;0;0;0;4;5;0;0;2;9;0;4;6;4;0;8;0;2;0;4;9;5;1;0;6;0;9;7;0;0;9;3;3;0;0;8;0;7;7;9;0;3;0;
hmpnkspbmd;0;2;0;5;0;6;0;0;1;0;0;0;9;0;0;0;0;4;1;6;2;5;0;7;8;7;0;5;2;0;0;5;0;2;4;0;0;0;0;0;0;0;9;0;0;3;0;2;0;9;0;6;0;8;0;0;2;0;0;0;0;0;2;0;0;1;7;0;0;0;8;0;4;0;7;0;0;0;6;2;7;0;0;0;0;0;0;3;0;1;8;0;0;8;9;0;0;1;8;0;
wgnhlgvqdo;0;4;4;0;3;0;0;8;0;3;5;0;0;0;1;9;0;0;2;9;6;0;0;8;0;0;0;7;0;0;0;0;7;0;0;7;3;5;8;1;0;2;7;0;7;9;0;6;9;7;0;4;0;0;1;2;0;3;0;8;2;1;0;6;3;2;0;0;0;9;0;1;0;3;0;0;6;0;0;6;9;1;1;2;0;1;5;0;0;0;7;3;0;0;0;3;7;4;3;0;
rvlmxjddnn;4;3;0;0;6;7;0;8;0;7;0;6;3;0;9;0;5;0;5;0;0;0;3;0;4;0;0;0;4;0;0;9;3;0;9;0;0;9;0;0;0;0;7;4;1;8;6;8;5;0;0;0;2;2;0;4;8;0;0;0;0;9;0;0;4;0;0;6;9;0;3;5;0;6;4;2;0;3;0;0;0;3;7;3;4;7;0;2;0;0;5;0;0;0;0;1;0;3;2;6;
idijawdfaq;0;0;7;0;0;1;5;0;5;3;2;0;0;9;0;0;0;0;5;4;0;5;5;1;0;0;9;0;9;0;0;2;2;0;7;9;0;3;0;0;0;3;4;0;0;0;6;0;2;0;0;2;3;0;7;6;2;9;0;1;3;2;6;0;0;0;0;0;0;3;0;4;0;9;0;0;5;0;0;0;0;5;0;9;0;0;3;0;0;4;2;9;0;0;5;0;0;0;0;0;
xtggaesbrg;6;5;6;0;0;0;0;0;4;7;6;3;0;6;0;0;2;0;0;0;0;3;0;4;7;0;0;3;0;5;4;1;3;1;6;8;3;0;1;0;9;0;2;0;0;0;0;1;5;0;6;3;0;7;5;0;0;8;1;9;4;6;4;0;0;0;0;0;0;0;1;0;0;0;4;0;6;5;9;6;9;0;7;5;2;3;0;3;2;6;8;8;0;0;4;0;0;5;9;0;
hwervtwxut;0;0;3;0;3;0;0;8;0;5;0;0;0;2;2;0;0;6;0;6;1;0;3;8;8;9;1;4;0;9;0;0;0;8;7;4;2;0;6;5;7;0;6;8;0;5;9;2;2;0;0;8;0;5;0;1;0;0;0;1;9;6;9;0;0;0;0;0;7;0;0;0;0;8;5;5;4;0;3;0;0;0;0;5;0;0;6;9;1;1;9;0;0;3;0;0;4;0;2;7;
ryhzrfshwz;0;0;3;0;4;2;0;0;0;0;0;1;1;5;0;2;1;0;3;3;0;0;5;0;3;1;5;0;0;7;0;7;9;0;7;0;2;0;4;0;0;8;0;9;0;0;0;0;3;6;0;1;5;2;0;2;6;0;9;0;3;0;1;0;2;0;1;0;6;7;3;0;1;5;0;5;7;0;7;3;2;2;6;0;9;4;7;5;0;0;0;0;0;6;3;0;4;7;0;9;
vkvxxzwoio;0;3;0;3;7;7;0;3;0;6;0;0;8;0;0;0;7;0;0;1;3;0;1;0;2;0;0;5;3;9;8;2;2;0;8;0;8;1;0;2;7;0;8;0;0;0;0;7;0;9;9;5;0;0;3;0;0;0;0;0;0;5;0;0;6;0;0;1;3;9;0;0;0;1;0;0;0;3;0;4;2;5;0;0;3;0;3;9;3;4;6;3;0;3;0;4;2;0;0;0;
rbeqmbckyb;0;3;9;0;4;2;8;3;4;6;6;0;4;0;5;0;6;0;0;7;9;0;3;5;4;0;9;8;0;9;0;5;3;0;5;8;0;0;0;2;0;9;8;0;0;9;0;6;9;0;3;0;0;6;0;6;8;3;3;7;7;9;0;0;0;7;5;5;5;0;0;5;0;0;7;0;1;5;1;6;5;1;7;0;7;0;0;0;7;4;0;4;0;0;1;0;0;9;1;4;
bqhklmpkkm;1;0;0;0;0;7;1;9;4;0;7;0;0;0;5;0;0;6;0;0;6;1;2;0;2;4;8;0;0;4;0;7;7;7;0;0;3;3;0;3;7;9;8;3;9;0;9;5;0;4;6;5;0;0;9;5;0;1;0;5;4;8;4;0;0;0;0;0;0;0;8;0;2;2;0;0;0;0;0;3;8;0;0;1;4;6;0;0;9;0;3;1;0;5;3;0;0;0;0;7;
zjooticezr;3;0;0;0;0;0;0;5;1;7;0;4;1;0;8;9;0;5;7;4;5;0;4;0;0;0;0;0;0;0;8;7;2;0;0;1;5;0;0;0;8;9;0;0;1;3;0;5;5;0;2;3;2;8;0;2;0;0;5;6;7;0;0;0;2;0;0;0;6;0;0;0;0;8;0;0;0;9;0;6;7;9;0;0;6;0;0;0;4;0;5;5;0;0;7;0;2;2;4;8;
sqbuggdenf;0;9;7;2;5;5;2;0;0;1;9;3;6;0;0;0;4;0;0;0;5;7;0;4;0;8;8;0;1;9;0;3;0;4;0;0;0;5;8;0;1;0;0;0;9;3;1;0;0;0;6;7;0;1;2;2;6;1;2;0;3;0;0;4;7;0;3;0;5;0;0;0;0;5;4;0;0;8;7;0;0;9;0;4;0;6;8;0;6;0;0;0;7;0;0;5;7;0;0;0;
qhdtfkycpz;6;8;0;0;0;0;0;0;5;1;1;6;9;0;1;2;0;6;0;0;4;9;3;8;6;9;3;0;0;1;0;4;2;0;0;0;0;8;0;0;1;3;6;4;0;0;3;2;0;5;5;3;0;8;0;9;0;5;0;0;8;8;0;0;6;2;0;6;4;0;7;2;2;0;0;0;0;5;2;0;0;0;2;0;2;0;0;4;0;5;7;7;1;0;4;0;3;4;0;2;
pvgtzcwlau;1;1;2;0;6;0;2;0;0;2;0;7;0;0;0;0;0;9;7;0;0;8;6;0;3;0;7;0;0;0;9;5;0;9;0;0;4;0;0;0;0;0;0;6;0;0;9;0;0;6;3;0;0;3;0;9;0;3;0;5;0;8;5;3;9;0;0;0;7;0;7;2;8;4;0;8;3;0;6;0;0;5;0;0;2;0;5;4;0;1;2;7;9;0;0;0;0;5;0;0;
osujrnimzz;0;0;0;0;0;0;7;1;1;0;0;7;0;0;3;0;0;9;3;8;1;0;0;1;0;8;8;0;0;9;0;0;1;0;0;0;0;0;0;8;3;9;0;4;2;0;7;5;0;0;0;0;8;0;5;9;8;0;0;0;6;0;0;4;0;0;8;8;0;0;0;0;0;0;0;0;6;8;0;5;0;0;0;0;9;0;0;2;0;8;7;0;8;0;0;0;0;0;0;3;
zgagurbebg;5;0;0;7;3;0;0;0;1;0;0;0;0;0;0;0;1;2;7;0;6;9;0;0;6;0;0;0;4;6;7;7;2;0;0;0;2;8;7;0;1;8;0;7;0;0;0;0;7;0;1;0;1;6;7;0;0;0;1;6;0;0;0;0;3;0;4;1;0;9;4;0;7;6;0;4;1;0;0;0;0;3;6;7;0;1;5;0;0;0;9;0;0;8;5;8;4;3;0;6;
qjsdveyevm;7;3;0;4;6;7;0;0;0;0;5;1;0;0;0;6;0;0;0;3;9;0;0;0;1;0;3;0;0;2;8;4;0;9;9;6;5;0;4;0;6;0;0;0;9;0;8;1;3;5;0;0;6;7;3;5;0;0;9;0;0;0;0;5;0;7;0;7;0;0;0;3;4;0;3;7;6;0;0;8;9;0;4;8;5;0;0;0;0;7;0;2;0;0;1;0;0;0;0;1;
jvnicoment;0;0;8;0;0;0;4;5;8;6;6;5;0;8;1;0;3;0;6;6;0;4;3;0;8;1;3;0;0;9;0;0;3;3;0;6;0;0;7;9;2;0;9;6;0;0;7;4;8;0;0;6;0;9;1;9;4;0;0;6;6;0;5;0;0;0;0;6;3;4;2;0;0;4;2;0;7;0;9;0;0;0;4;0;0;0;6;0;0;0;3;5;0;0;1;0;5;0;0;4;
gqefvzllhy;9;9;0;8;7;3;0;0;3;6;0;7;0;0;5;0;0;0;0;5;0;4;0;8;0;9;0;0;5;0;0;9;0;0;0;0;0;0;0;0;0;3;3;0;0;7;0;7;1;4;0;0;0;0;0;6;0;6;0;0;0;0;0;5;0;6;1;8;9;8;5;6;8;0;0;0;0;0;0;4;9;0;7;1;0;0;0;9;0;3;0;0;0;5;9;0;6;2;0;9;
nmmytbmwsg;0;0;0;0;0;0;0;0;0;0;5;9;2;4;8;0;0;0;0;4;0;4;0;0;0;0;8;0;0;0;8;0;0;0;8;0;1;6;6;0;0;2;0;0;1;0;0;3;0;1;0;0;0;5;5;5;9;0;0;0;2;0;0;0;0;8;1;0;0;7;0;0;0;0;8;0;0;0;4;1;0;0;4;0;0;7;5;0;0;9;7;1;3;0;9;5;0;1;9;7;
kiszatqutr;7;0;0;7;8;0;0;6;0;0;2;8;8;4;0;0;5;0;6;8;3;6;0;4;2;0;0;1;0;8;2;8;0;2;3;9;0;4;2;0;3;4;5;0;3;0;0;2;0;0;6;0;0;0;1;4;6;2;0;7;9;0;7;1;0;0;0;0;6;0;0;7;2;0;1;1;5;2;0;0;0;3;6;0;2;0;0;4;0;0;5;0;4;0;7;0;7;2;7;8;
gxxdkgoyqg;0;0;0;2;8;2;9;0;9;0;5;6;0;4;0;9;0;0;0;0;0;0;3;4;0;0;8;8;3;0;0;0;5;6;0;0;0;0;1;9;1;3;0;4;0;5;0;1;4;4;3;1;2;0;0;0;0;7;0;0;8;0;0;5;0;0;5;0;2;8;3;9;5;6;0;0;3;0;0;0;0;3;1;9;0;0;7;9;0;8;4;2;0;5;0;7;2;0;1;0;
tjzkauvakp;0;3;0;6;0;0;2;9;5;3;0;3;0;8;7;0;8;6;0;9;0;1;0;0;0;8;0;3;2;0;7;0;0;0;0;5;0;0;3;2;0;6;8;6;0;0;8;5;1;0;1;0;0;9;6;0;0;8;0;0;0;0;0;0;2;1;5;7;0;0;2;0;0;7;5;0;0;0;3;5;1;8;5;1;0;7;5;0;8;0;6;6;8;0;0;3;0;0;6;0;
egcswnsbsh;8;0;8;7;3;8;0;0;0;1;0;1;0;0;7;0;3;0;0;0;0;0;1;0;0;8;8;2;0;0;0;6;4;0;2;0;0;7;0;2;1;0;0;5;0;0;3;9;2;0;3;3;8;2;0;4;0;0;8;7;1;0;0;3;0;8;0;0;7;0;3;3;0;3;0;8;7;2;0;4;0;6;7;5;0;9;0;0;0;0;5;6;8;0;0;1;9;0;4;6;
